review_id,k,scale,theta,I2,tau2,entropy,kl_divergence,mutual_info,fisher_info,norm_entropy_index,n_modes,skewness,kurtosis,entropy_class
CD007572,10,ratio,-0.1549,64.5,0.0075,-0.3868,1.2741,1.0549,2611.47,0.2951,2,-2.242,7.064,Concentrated
CD007639,5,ratio,-0.0323,69.4,0.1657,0.8071,0.1406,0.2911,76.71,0.3023,2,-0.848,-0.9,Moderate
CD007674,28,ratio,0.3916,78.7,0.2472,1.3161,0.9824,0.7109,436.09,0.2382,2,0.223,1.175,Concentrated
CD007784,13,ratio,-0.3303,38.9,0.0072,0.5291,17.8275,0.7239,1815.91,0.1326,4,-3.529,19.744,Concentrated
CD007809,3,ratio,0.2462,0,0,0.754,0.8378,,15.39,0.1166,1,0,0,Concentrated
CD007859,3,ratio,0.1776,48.0,0.0782,0.6533,0.0868,,38.59,0.404,1,0,0,Moderate
CD007872,3,ratio,-0.0755,22.7,0.0038,-0.5211,0.6257,,385.31,0.195,1,0,0,Concentrated
CD007895,3,ratio,0.1949,0,0,1.6881,1.0377,,2.57,0.1163,1,0,0,Concentrated
CD007896,35,ratio,0.8428,0,0,1.7247,62.3392,0.2479,66.95,0.0898,2,0.735,1.15,Concentrated
CD008063,50,difference,0.1791,35.2,0.0129,0.345,4.055,0.5284,2147.44,0.1314,3,1.874,7.2,Concentrated
CD008145,6,ratio,0.3092,89.4,0.0359,-0.2049,0.3252,1.0986,4235.67,0.4018,3,3.201,11.369,Moderate
CD008165,13,ratio,-0.2079,83.6,0.0785,0.6321,0.6655,0.9372,929.6,0.2873,2,-1.986,8.036,Concentrated
CD008176,38,ratio,-0.0488,0,0,1.7769,200.9796,0.5606,172.47,0.0746,4,-1.021,10.337,Concentrated
CD008237,6,ratio,0.4677,53.2,0.0644,0.9253,2.2818,0.4055,404.69,0.1413,3,3.329,11.339,Concentrated
CD008309,4,ratio,-0.6124,27.4,0.0689,1.2077,1.551,,25.44,0.278,1,0.88,0.01,Concentrated
CD008349,68,difference,0.2695,68.4,0.2229,1.1907,5.2564,0.2335,669.54,0.1528,2,-1.154,42.423,Concentrated
CD008469,11,ratio,0.0199,0,0,2.0505,10.0219,0.9165,6.82,0.1255,1,0.415,-0.342,Concentrated
CD008493,10,ratio,-0.1007,53.4,0.0299,0.9879,12.1001,1.1935,459.1,0.1817,4,-2.693,18.917,Concentrated
CD008552,5,ratio,0.2392,63.6,0.2673,1.2835,0.6343,0.2911,45.71,0.2449,1,-1.216,1.085,Concentrated
CD008564,12,ratio,-0.1066,0.7,0.0007,0.6284,11.479,0.9242,135.1,0.1135,1,0.447,-0.651,Concentrated
CD008628,9,ratio,0.1709,0,0,1.4761,15.9738,0.8487,30.02,0.1456,1,0.732,2.99,Concentrated
CD008688,3,ratio,-0.0404,0,0,0.3833,23.455,,124.87,0.0499,1,0,0,Concentrated
CD008709,31,ratio,-0.3898,0,0,1.9641,45.4183,0.4069,31.39,0.0934,2,0.877,1.01,Concentrated
CD008858,63,ratio,0.7621,96.3,0.3548,1.6392,1.281,0.1818,5183.31,0.1496,3,0.974,0.008,Concentrated
CD008879,8,ratio,-0.2404,0,0,1.0046,23.5708,1.0397,67.02,0.1671,2,2.396,14.763,Concentrated
CD008940,4,ratio,-0.0128,0,0,1.9575,1.7204,,2.04,0.123,1,-0.029,-1.642,Concentrated
CD009022,9,ratio,1.0835,0,0,1.9263,7.0623,0.8487,6.38,0.086,2,1.398,3.056,Concentrated
CD009102,5,ratio,-0.3651,57.1,0.1144,1.4412,5.5442,0.0138,78.08,0.3176,3,-3.043,27.197,Moderate
CD009235,31,ratio,-0.0647,0,0,1.4535,155.0042,0.6921,211.47,0.1055,4,-0.264,8.49,Concentrated
CD009252,14,ratio,0.1694,42.3,0.1747,1.5575,1.9249,0.6567,69.86,0.1742,1,-0.507,1.649,Concentrated
CD009298,11,ratio,-0.0633,9.7,0.0046,0.8079,19.0717,1.1685,316.15,0.1487,4,-1.259,5.923,Concentrated
CD009362,27,ratio,-0.9545,7.5,0.0607,1.9412,13.7825,0.4158,37.71,0.1126,1,1.109,1.237,Concentrated
CD009417,5,ratio,0.1087,33.7,0.0438,0.5787,0.5877,0.2911,173.01,0.1481,2,2.511,4.6,Concentrated
CD009508,10,ratio,0.8005,59.8,0.5647,2.0344,1.729,0.9163,32.12,0.2922,2,1.989,6.001,Concentrated
CD009531,8,ratio,0.1872,0,0,0.7073,6.868,0.6931,64.34,0.0594,1,0.793,-0.377,Concentrated
CD009535,9,ratio,-0.2262,83.7,0.0466,0.4349,3.2435,1.0027,1154.86,0.1384,3,0.206,-0.152,Concentrated
